,PDO
0,-0.38
1,-1.29
2,-0.68
3,-0.12
4,0.57
5,0.22
6,0.3
7,0.05
8,0.88
9,1.1
10,0.58
11,0.06
12,0.06
13,0.58
14,0.62
15,0.78
16,0.64
17,-0.72
18,-0.21
19,0.08
20,-0.13
21,0.99
22,0.71
23,0.3
24,1.18
25,1.24
26,1.22
27,1.07
28,1.29
29,1.82
30,0.82
31,-0.05
32,0.43
33,-0.09
34,0.54
35,0.59
36,0.11
37,-0.19
38,-0.37
39,-0.7
40,-1.21
41,-0.99
42,0.12
43,-0.08
44,0.51
45,0.15
46,-0.6
47,0.16
48,0.4
49,0.97
50,1.73
51,1.26
52,1.01
53,1.9
54,2.47
55,1.18
56,0.47
57,0.68
58,1.19
59,1.72
60,1.42
61,1.23
62,1.56
63,1.0
64,0.87
65,-0.13
66,-0.35
67,0.01
68,0.18
69,0.43
70,0.54
71,0.48
72,0.87
73,0.48
74,-0.34
75,-0.52
76,-0.87
77,0.04
78,0.52
79,0.19
80,0.13
81,0.14
82,-0.65
83,0.33
84,1.04
85,1.47
86,1.68
87,1.21
88,0.85
89,0.62
90,1.05
91,-0.19
92,-0.03
93,1.0
94,1.68
95,1.71
96,1.47
97,1.46
98,1.35
99,1.38
100,0.82
101,0.05
102,1.38
103,1.74
104,1.44
105,0.68
106,0.93
107,0.94
108,0.23
109,0.47
110,0.49
111,0.34
112,0.37
113,0.21
114,-0.15
115,-0.88
116,-0.98
117,-0.36
118,-0.06
119,-0.14
120,-1.24
121,-1.45
122,-1.24
123,-0.32
124,-0.09
125,0.11
126,0.56
127,-0.44
128,-0.57
129,-0.51
130,-0.76
131,-0.1
132,-0.42
133,-1.28
134,-1.24
135,-0.15
136,-0.32
137,-0.25
138,-0.31
139,-0.43
140,-0.26
141,-1.16
142,-1.88
143,-2.22
144,-1.8
145,-1.09
146,-1.11
147,-1.63
148,-1.65
149,-2.25
150,-1.57
151,-0.58
152,0.37
153,0.41
154,0.56
155,-0.21
156,0.08
157,0.17
158,0.12
159,0.55
160,1.26
161,1.22
162,1.5
163,0.85
164,0.45
165,1.28
166,1.31
167,0.33
168,-0.28
169,0.02
170,0.24
171,1.0
172,1.79
173,2.05
174,1.48
175,1.96
176,1.15
177,1.31
178,1.13
179,0.67
180,0.85
181,0.33
182,0.27
183,0.49
184,0.55
185,0.1
186,-0.91
187,-0.88
188,-1.51
189,-1.06
190,-1.93
191,-2.22
192,-0.86
193,0.02
194,0.46
195,0.49
196,0.89
197,1.03
198,1.0
199,-0.11
200,1.22
201,0.64
202,0.05
203,0.44
204,1.01
205,1.01
206,0.85
207,1.37
208,2.13
209,1.1
210,0.57
211,-0.66
212,0.07
213,0.4
214,0.38
215,-0.03
216,0.44
217,0.29
218,0.39
219,0.73
220,1.59
221,2.55
222,1.49
223,2.27
224,1.8
225,1.78
226,1.48
227,0.99
228,1.05
229,1.52
230,1.29
231,0.03
232,-0.83
233,-0.78
234,-1.16
235,-0.87
236,-1.7
237,-2.23
238,-0.97
239,-1.09
240,-0.78
241,-1.06
242,-1.18
243,-1.85
244,-2.32
245,-2.34
246,-1.87
247,-1.84
248,-2.24
249,-2.54
250,-2.18
251,-1.92
252,-2.2
253,-1.28
254,-0.66
255,-0.63
256,-0.81
257,-0.64
258,-1.51
259,-1.68
260,-1.45
261,-1.61
262,-1.04
263,0.0
264,0.48
265,-0.01
266,-0.41
267,-1.18
268,-1.12
269,-1.22
270,-2.21
271,-1.68
272,-1.98
273,-1.91
274,-1.25
275,-1.12
276,-0.42
277,-1.51
278,-1.27
279,-1.23
280,-1.3
281,-1.18
282,-0.71
283,0.11
284,-0.21
285,-0.2
286,1.08
287,1.57
288,1.45
289,1.23
290,1.01
291,0.36
292,0.21
293,-0.42
294,0.37
295,0.63
296,-0.17
297,0.74
298,-0.23
299,-0.6
300,-0.55
301,-0.21
302,-0.15
303,-0.0
304,0.61
305,-0.11
306,0.04
307,0.24
308,0.02
309,-0.72
310,-1.22
311,-0.64
312,-0.15
313,-0.01
314,0.7
315,0.28
316,1.36
317,0.85
318,0.11
319,-0.42
320,-0.99
321,-2.0
322,-1.89
323,-0.1
324,0.54
325,0.38
326,-0.74
327,-0.54
328,-0.37
329,0.21
330,0.39
331,-0.85
332,-1.54
333,-0.46
334,-0.81
335,-0.42
336,-0.69
337,-0.71
338,-1.1
339,-0.46
340,-0.29
341,-0.07
342,0.43
343,0.09
344,-0.97
345,-2.33
346,-1.46
347,-0.87
348,-1.5
349,-1.46
350,-1.26
351,-1.79
352,-1.62
353,-1.85
354,-1.96
355,-1.85
356,-1.87
357,-1.9
358,-1.59
359,-1.31
360,-1.81
361,-1.78
362,-2.06
363,-2.23
364,-1.32
365,-0.73
366,-0.71
367,-0.49
368,0.33
369,-0.13
370,-0.94
371,-0.51
372,0.05
373,0.25
374,-0.16
375,-0.04
376,-0.18
377,-0.79
378,-1.99
379,-2.21
380,-2.45
381,-1.6
382,-1.57
383,-2.04
384,-1.8
385,-1.46
386,-1.28
387,-1.02
388,-0.66
389,-1.08
390,-2.3
391,-2.37
392,-2.5
393,-1.92
394,-2.95
395,-2.4
396,-1.85
397,-1.35
398,-1.66
399,-1.01
400,-2.12
401,-1.63
402,-2.4
403,-2.6
404,-2.99
405,-1.22
406,-0.66
407,-1.31
408,-1.1
409,-1.42
410,-1.48
411,-0.72
412,-0.4
413,-1.19
414,-1.34
415,-1.56
416,-1.0
417,-1.65
418,-1.09
419,-1.04
420,-0.56
421,-0.42
422,0.3
423,0.36
424,1.26
425,-0.29
426,0.24
427,0.33
428,0.75
429,1.42
430,1.35
431,1.85
432,1.51
433,1.52
434,1.34
435,0.9
436,0.33
437,0.82
438,1.41
439,0.98
440,0.96
441,0.83
442,0.16
443,0.28
444,0.74
445,1.3
446,1.58
447,1.73
448,1.59
449,0.85
450,0.56
451,-0.61
452,-0.8
453,-0.43
454,0.96
455,0.6
456,-0.05
457,-0.01
458,0.1
459,0.57
460,0.45
461,0.35
462,-0.43
463,-0.62
464,-0.18
465,-0.68
466,-0.59
467,-0.03
468,0.4
469,-0.08
470,-0.71
471,-0.81
472,-0.45
473,-0.65
474,-0.01
475,-0.21
476,-0.35
477,-0.57
478,-0.7
479,-0.21
480,-0.33
481,-0.72
482,-0.33
483,0.1
484,0.27
485,-0.05
486,0.55
487,0.01
488,0.13
489,-0.89
490,-0.49
491,0.0
492,-1.41
493,-1.47
494,-1.75
495,-1.31
496,-0.51
497,-0.76
498,-0.9
499,-1.32
500,-1.03
501,-0.62
502,-1.58
503,-0.98
